Distance from Center (cmd=annotatePeaks.pl ../txt/PDXConsensus.txt hg19 -size 6000 -hist 25 -d PDX01 PDX03 PDX04 PDX05)	PDX01 Coverage	PDX01 + Tags	PDX01 - Tags	PDX03 Coverage	PDX03 + Tags	PDX03 - Tags	PDX04 Coverage	PDX04 + Tags	PDX04 - Tags	PDX05 Coverage	PDX05 + Tags	PDX05 - Tags
25	14.2734186573037	0.025577045696069	0.0677721572794949	4.84520014169327	0.00970031880977676	0.0230605738575986	7.24342596151672	0.00987035069075451	0.0331115834218916	3.58757799265579	0.00638724760892667	0.0179413390010629
50	12.3648477567814	0.0176187035069079	0.0753844845908665	4.10095642933053	0.00496918172157278	0.0245185972369823	5.77978384244918	0.00803400637619553	0.0408586609989373	2.98596395239948	0.00382486716259298	0.0194656748140278
75	9.75265905835662	0.0123910733262487	0.0721300743889533	3.16578108395325	0.00441870350690754	0.0229266737513287	3.95748072444435	0.00321360255047821	0.0336280552603613	2.1961574478383	0.00333390010626992	0.0164731137088206
100	7.07277179688603	0.00956684378320931	0.0571018065887392	2.23981579879561	0.00373432518597237	0.019132837407014	2.41294910348882	0.00384484590860786	0.021577045696068	1.43331825212277	0.0024875664187035	0.011928161530287
125	4.94687427805756	0.00695770456960677	0.0424289054197685	1.50974140984768	0.00254410201912859	0.012586609989373	1.44380129784973	0.0039596174282678	0.012624867162593	0.985753516903233	0.00211817215727949	0.00747672688629119
150	3.56037517904168	0.00537725823591921	0.030898193411266	1.07616011335459	0.00238044633368757	0.00906057385759824	1.02561783525901	0.00275451647183847	0.00556641870350691	0.76515398617439	0.00238469713071201	0.00526503719447395
175	2.68029385944646	0.00554558979808712	0.0233232731137095	0.857598299681191	0.00270775770456961	0.00554941551540912	0.810421235896626	0.00223804463336876	0.00418916046758767	0.665733735966585	0.00248289054197662	0.00311880977683315
200	2.13768886013954	0.00665844845908605	0.0164684378320938	0.758058802692172	0.00275239107332625	0.00425504782146652	0.801263933796099	0.00447608926673751	0.00350053134962806	0.629854483854338	0.00232391073326248	0.0021836344314559
225	1.80122903479185	0.00598512221041443	0.0130831030818279	0.699964576691464	0.00299043570669501	0.00346652497343252	0.850102878332242	0.0037874601487779	0.00355791710945802	0.666196694058355	0.00288034006376195	0.0031702444208289
250	1.60850159404889	0.00596641870350688	0.00968841657810835	0.703506907545165	0.00307970244420829	0.00285653560042508	0.984409975806636	0.00487778958554729	0.00212327311370882	0.704853694721227	0.00353963868225292	0.00269798087141339
275	1.5320611745137	0.00608799149840593	0.00764973432518594	0.73326248671626	0.00351115834218916	0.00282678002125399	1.15839871571665	0.00562380446333687	0.00212327311370882	0.766542860449702	0.00374537725823591	0.00260913921360255
300	1.48997828397172	0.0050405951115834	0.00638724760892665	0.7137796670209	0.00266312433581297	0.00269287991498406	1.23165713252086	0.00304144527098831	0.00344314558979809	0.788533369808821	0.00285696068012752	0.00281487778958554
325	1.42492260777157	0.00416153028692878	0.00659298618490965	0.709528869996458	0.00261849096705633	0.00321360255047822	1.15229384764963	0.00172157279489904	0.00585334750265675	0.763186414284363	0.00183294367693942	0.00312816153028692
350	1.32245991775632	0.0036471838469713	0.00615345377258234	0.700318809776834	0.00272263549415516	0.00303506907545165	1.0057770140412	0.00223804463336876	0.00717321997874602	0.749760629623006	0.00265122210414452	0.00330116896918171
375	1.23463475488611	0.00404930924548352	0.00680807651434641	0.662770102727595	0.002201912858661	0.0030499468650372	0.77073959346101	0.00241020191285866	0.00499256110520723	0.719205395566126	0.00248289054197662	0.00396514346439957
400	1.14497990112276	0.00430180658873537	0.00628437832093515	0.627346794190578	0.00252922422954304	0.00214240170031881	0.651694666154161	0.0025249734325186	0.00476301806588735	0.654391262718197	0.00264187035069075	0.00304867162592986
